,latitude,longitude,chla,turbidity,ss,cod,tp,nh3n,bga
1,31.515503,120.268045,6.699,11.616,11.862,24.007,0.03,0.128,0.0
2,31.515479,120.267915,6.63,11.474,11.672,24.148,0.031,0.124,0.0
3,31.515436,120.267665,6.921,11.148,11.239,24.168,0.032,0.127,0.0
4,31.515391,120.267406,6.419,12.081,12.488,24.209,0.028,0.126,0.0
5,31.515347,120.267148,6.294,10.01,9.759,24.283,0.03,0.125,0.0
6,31.515302,120.266889,6.622,10.98,11.017,23.151,0.031,0.123,0.0
7,31.515255,120.266621,6.619,11.451,11.641,23.154,0.029,0.12,0.0
8,31.515211,120.266362,6.588,11.228,11.344,24.283,0.029,0.122,0.0
9,31.515168,120.266114,6.138,12.014,12.397,23.345,0.026,0.127,0.0
10,31.515123,120.265856,6.417,11.088,11.159,24.007,0.029,0.126,0.0
11,31.51508,120.26561,6.316,11.92,12.27,23.033,0.026,0.122,0.0
12,31.515043,120.265394,6.227,11.87,12.203,23.995,0.026,0.122,0.0
13,31.515021,120.265272,6.404,10.869,10.871,23.289,0.028,0.127,0.0
14,31.515113,120.265255,6.072,12.042,12.435,24.075,0.025,0.123,0.0
15,31.515145,120.265435,6.074,11.974,12.344,23.115,0.025,0.126,0.0
16,31.515191,120.265693,5.984,11.865,12.195,24.17,0.024,0.123,0.0
17,31.515238,120.265952,5.94,12.02,12.406,23.229,0.024,0.123,0.0
18,31.515281,120.2662,6.008,12.037,12.428,23.34,0.024,0.128,0.0
19,31.515327,120.266458,5.909,12.232,12.693,24.177,0.023,0.121,0.0
20,31.515373,120.266716,5.818,12.131,12.556,23.589,0.023,0.123,0.0
21,31.515418,120.266974,5.878,12.466,13.012,24.317,0.023,0.127,0.0
22,31.515466,120.267242,5.679,12.937,13.661,24.045,0.021,0.124,0.0
23,31.515513,120.2675,5.696,12.738,13.386,24.394,0.021,0.122,0.0
24,31.515558,120.267759,5.671,12.682,13.308,23.511,0.021,0.122,0.0
25,31.515599,120.267992,5.724,12.092,12.503,24.448,0.022,0.127,0.0
26,31.51568,120.267982,5.497,13.008,13.759,23.912,0.02,0.123,0.0
27,31.515669,120.267863,5.585,12.299,12.784,23.784,0.021,0.127,0.0
28,31.515626,120.267603,5.474,12.551,13.128,23.713,0.02,0.127,0.0
29,31.515583,120.267344,5.449,12.452,12.993,23.219,0.02,0.126,0.0
30,31.515541,120.267084,5.562,12.23,12.69,24.1,0.021,0.121,0.0
31,31.515497,120.266816,5.42,12.401,12.923,23.041,0.02,0.122,0.0
32,31.515454,120.266558,5.249,12.848,13.537,23.722,0.019,0.126,0.0
33,31.515413,120.266309,5.099,13.334,14.213,23.301,0.019,0.122,0.0
34,31.515371,120.26605,5.226,13.055,13.824,23.971,0.02,0.124,0.0
35,31.515328,120.26579,5.207,12.832,13.515,23.212,0.019,0.123,0.0
36,31.515285,120.265532,5.186,12.883,13.585,23.441,0.019,0.124,0.0
37,31.515245,120.265276,5.092,13.253,14.1,24.138,0.019,0.128,0.0
38,31.515317,120.265227,5.029,14.074,15.256,23.131,0.02,0.128,0.0
39,31.515377,120.265254,5.241,13.131,13.929,23.444,0.02,0.126,0.0
40,31.515417,120.265506,5.087,12.962,13.696,23.525,0.018,0.124,0.0
41,31.515456,120.265756,4.903,13.56,14.529,23.101,0.019,0.096,0.0
42,31.515497,120.266015,5.056,13.362,14.252,23.805,0.02,0.124,0.0
43,31.515537,120.266274,5.012,13.061,13.833,23.457,0.02,0.125,0.0
44,31.515578,120.266533,4.865,12.756,13.411,24.486,0.018,0.065,0.0
45,31.51562,120.266803,5.147,8.95,8.426,24.321,0.023,0.123,0.0
46,31.515661,120.267062,5.083,13.274,14.129,24.0,0.018,0.121,0.0
47,31.515701,120.267322,5.053,13.49,14.432,23.047,0.02,0.121,0.0
48,31.51574,120.267571,5.003,12.944,13.67,24.184,0.02,0.121,0.0
49,31.515781,120.26783,5.047,12.993,13.738,23.844,0.019,0.126,0.0
50,31.515817,120.267931,4.956,13.776,14.834,24.008,0.018,0.113,0.0
51,31.515895,120.267887,5.051,12.39,12.909,23.303,0.019,0.123,0.0
52,31.515861,120.267655,4.944,13.006,13.757,23.01,0.019,0.111,0.0
53,31.515822,120.267385,4.948,12.843,13.531,23.716,0.018,0.117,0.0
54,31.515784,120.267125,5.077,12.934,13.656,23.619,0.019,0.124,0.0
55,31.515747,120.266865,5.075,12.771,13.432,23.61,0.018,0.122,0.0
56,31.515711,120.266616,5.094,12.571,13.157,24.276,0.019,0.126,0.0
57,31.515673,120.266356,4.966,13.212,14.043,24.037,0.018,0.107,0.0
58,31.515635,120.266096,4.928,9.686,9.347,24.187,0.022,0.098,0.0
59,31.515598,120.265837,5.034,12.602,13.198,24.407,0.018,0.12,0.0
60,31.515561,120.265577,5.153,11.913,12.261,23.062,0.02,0.121,0.0
61,31.515521,120.265306,5.158,12.556,13.135,23.582,0.019,0.128,0.0
62,31.515528,120.265196,5.023,12.913,13.627,23.439,0.018,0.121,0.0
63,31.515609,120.265195,4.869,14.012,15.168,23.285,0.02,0.081,0.0
64,31.515644,120.265427,4.99,13.513,14.464,23.553,0.018,0.104,0.0
65,31.515684,120.265687,4.939,13.302,14.168,23.826,0.018,0.11,0.0
66,31.515723,120.265947,4.961,12.791,13.459,23.579,0.018,0.109,0.0
67,31.515763,120.266206,5.027,13.517,14.469,24.055,0.02,0.126,0.0
68,31.515804,120.266476,5.027,11.979,12.349,23.187,0.02,0.123,0.0
69,31.515843,120.266736,4.973,13.162,13.973,23.928,0.019,0.118,0.0
70,31.515883,120.266995,4.924,12.997,13.743,23.413,0.019,0.109,0.0
71,31.515921,120.267245,5.073,13.062,13.834,23.817,0.019,0.126,0.0
72,31.515961,120.267505,5.059,13.169,13.982,24.026,0.02,0.124,0.0
73,31.516,120.267765,4.907,13.385,14.284,23.344,0.018,0.096,0.0
74,31.516049,120.267839,5.112,10.86,10.859,23.004,0.02,0.121,0.0
75,31.516106,120.267794,5.194,5.619,5.783,24.113,0.04,0.125,0.0
76,31.516068,120.267532,5.108,13.13,13.928,23.874,0.019,0.123,0.0
77,31.516032,120.267272,5.156,12.659,13.278,23.045,0.018,0.122,0.0
78,31.515995,120.267013,4.95,13.089,13.872,23.41,0.019,0.104,0.0
79,31.515961,120.266762,4.952,12.378,12.892,24.428,0.018,0.098,0.0
80,31.515924,120.266502,5.116,12.562,13.143,23.431,0.02,0.121,0.0
81,31.515887,120.266242,5.047,12.79,13.457,23.232,0.02,0.127,0.0
82,31.51585,120.265982,4.775,12.623,13.227,23.414,0.019,0.071,0.0
83,31.515814,120.265722,4.986,13.397,14.301,23.997,0.02,0.105,0.0
84,31.515776,120.265451,4.824,13.686,14.707,23.47,0.02,0.065,0.0
85,31.51574,120.265197,4.958,13.37,14.263,23.019,0.02,0.096,0.0
86,31.515815,120.265153,5.034,14.095,15.285,23.156,0.018,0.127,0.0
87,31.515879,120.265188,5.102,13.091,13.875,23.737,0.019,0.126,0.0
88,31.515915,120.265445,4.956,13.522,14.477,23.326,0.02,0.102,0.0
89,31.515952,120.265706,5.012,12.274,12.749,23.392,0.018,0.127,0.0
90,31.515988,120.265967,5.009,12.712,13.349,23.225,0.019,0.116,0.0
91,31.516025,120.266227,5.013,13.161,13.972,23.581,0.019,0.126,0.0
92,31.516063,120.266497,5.102,13.239,14.08,24.31,0.02,0.12,0.0
93,31.516099,120.266757,5.07,12.732,13.378,23.788,0.02,0.126,0.0
94,31.516134,120.267007,5.002,13.2,14.026,23.329,0.019,0.121,0.0
95,31.51617,120.267267,5.122,11.321,11.468,23.956,0.018,0.121,0.0
96,31.516207,120.267527,4.897,13.409,14.318,23.372,0.02,0.08,0.0
97,31.516238,120.267753,4.957,11.579,11.811,24.342,0.018,0.123,0.0
98,31.516349,120.267725,4.958,14.223,15.467,23.688,0.02,0.115,0.0
99,31.51634,120.267595,5.024,12.953,13.682,23.688,0.02,0.125,0.0
100,31.516305,120.267334,5.043,13.248,14.092,23.185,0.019,0.121,0.0
101,31.516273,120.267086,4.906,12.726,13.369,23.548,0.019,0.11,0.0
102,31.51624,120.266835,5.047,12.945,13.672,23.179,0.019,0.122,0.0
103,31.516206,120.266575,4.994,13.283,14.142,24.44,0.019,0.126,0.0
104,31.516172,120.266314,5.011,12.164,12.601,24.002,0.018,0.124,0.0
105,31.516138,120.266053,4.937,10.512,10.406,24.302,0.02,0.097,0.0
106,31.516103,120.265793,4.999,13.249,14.094,23.194,0.018,0.121,0.0
107,31.516068,120.265522,4.942,13.403,14.31,24.229,0.02,0.091,0.0
108,31.516034,120.265261,5.04,13.217,14.05,24.462,0.018,0.126,0.0
