Nuclide,Halflife(y),ClassTFA,DeclearationThreshold(Bq/g),LumpDeclearationLimt(Bq/g)
H3,1.23E+01,3,1,10.0
Be10,1.60E+06,3,0.01,1.0
C14,5.73E+03,3,0.1,1.0
Na22,2.60E+00,1,0.1,
Al26,7.20E+05,1,0.1,
Si32,1.72E+02,3,10,
cI36,3.02E+05,3,0.01,0.1
Ar39,2.69E+02,3,10,
K40,1.28E+09,2,1,
Ca41,1.03E+05,3,0.01,0.1
Ar42,3.30E+01,3,10,
Ti44,4.72E+01,1,0.1,
V49,9.03E-01,3,10,
Mn53,3.70E+06,3,10,
Mn54,8.56E-01,1,0.1,
Fe55,2.70E+00,3,10,
Co57,7.43E-01,2,1,
Ni59,7.49E+04,3,10,100.0
Co60,5.27E+00,1,0.1,
Fe60,7.51E+06,3,10,
Ni63,1.00E+02,3,10,
Zn65,6.69E-01,1,0.1,
Ge68,7.42E-01,1,0.1,
Se79,6.50E+04,3,0.01,0.1
Kr81,2.10E+05,3,10,
Kr85,1.07E+01,3,1,
Rb87,4.80E+10,3,10,
Sr90,2.91E+01,3,1,10.0
Nb91,6.80E+02,3,10,
Nb92,3.50E+07,1,0.1,
Mo93,3.50E+03,3,0.01,0.1
Zr93,1.53E+06,3,1,10.0
Nb93m,1.64E+01,3,10,
Nb94,2.03E+04,1,0.1,
Tc97,2.60E+06,3,10,
Tc98,4.20E+06,1,0.1,
Tc99,2.13E+05,3,0.01,0.1
Rh101,3.30E+00,2,0.1,
Rh102,2.90E+00,1,0.1,
Rh102m,5.67E-01,1,0.1,
Ru106,1.01E+00,2,1,
Pd107,6.5OE+06,3,10,100.0
Ag108m,4.18E+02,1,2.5OE-04,0.005
Cd109,1.27E+00,3,10,
Ag110m,6.84E-01,1,0.1,
Cd113m,1.41E+01,3,10,
Sn119m,8.02E-01,3,10,
Sn121m,5.00E+01,3,10,
Sb125,2.73E+00,1,0.1,
Sn126,1.00E+05,1,0.01,0.1
I129,1.57E+07,3,0.001,0.01
Ba133,1.05E+01,1,0.1,
Cs134,2.06E+00,1,0.1,
Cs135,2.30E+06,3,0.1,1.0
Cs137,3.00E+01,1,0.1,
La137,6.00E+04,3,10,
Pm143,7.26E-01,1,0.1,
Ce144,7.80E-01,2,1,
Pm144,9.95E-01,1,0.1,
Pm145,1.77E+01,3,10,
Sm145,9.31E-01,3,10,
Pm146,5.53E+00,1,0.1,
Sm146,1.03E+08,2,1,
Pm147,2.62E+00,3,10,
Gd148,7.45E+01,1,0.1,
Eu150,3.42E+01,1,0.1,
Gd150,1.79E+06,2,1,
Sm151,8.87E+01,3,10,
Eu152,1.33E+01,1,0.1,
Gd153,6.63E-01,3,10,
Dy154,2.85E+06,2,1,
Eu154,8.60E+00,1,0.1,
Eu155,4.96E+00,3,10,
Tb157,9.82E+01,3,10,
Tb158,1.81E+02,1,0.1,
Ho163,4.57E+03,3,10,
Ho166m,1.20E+03,1,0.1,
Tm171,1.92E+00,3,10,
Hf172,1.87E+00,1,0.1,
Lu173,1.37E+00,2,1,
Lu174,3.31E+00,2,1,
Lu176,3.61E+10,1,0.1,
Ta179,1.80E+00,3,10,
Hf178m,3.10E+01,1,0.1,
Hf182,8.99E+06,1,0.1,
Re186m,2.00E+05,3,10,
Ir192n,2.41E+02,1,0.1,
Pt193,5.07E+01,3,0,
Hg194,5.20E+02,1,0.1,
Os194,5.90E+00,2,1,
Au195,5.10E-01,3,10,
Pb202,5.26E+04,1,0.1,
TI204,3.78E+00,3,10,
Pb205,1.52E+07,3,10,
Bi207,3.80E+01,1,0.1,
Bi208,3.68E+05,1,0.1,
Po208,2.90E+00,2,1,
Po209,1.02E+02,2,1,
Pb210,2.23E+01,2,1,
Bi210m,3.00E+06,2,1,
Ra226,1.60E+03,1,0.1,1.0
Ac227,2.18E+01,1,0.1,
Ra228,5.75E+00,1,0.1,
Th228,1.91E+00,1,0.1,
Th229,7.34E+03,1,0.1,
Th230,7.54E+04,2,1,
Pa231,3.28E+04,1,0.01,0.1
Th232,1.41E+10,1,0.01,0.1
U232,6.98E+01,2,1,
U233,1.59E+05,2,1,
U234,2.46E+05,2,1,
Np235,1.08E+00,3,10,
U235,7.04E+08,2,0.1,
Np236,1.52E+05,2,1,
Pu236,2.90E+00,1,0.1,
U236,2.34E+07,2,1,
Np237,2.14E+06,1,0.001,0.01
Pu238,8.77E+01,1,0.1,
U238,4.47E+09,2,1,
Pu239,2.41E+04,1,0.1,1.0
Pu240,6.56E+03,1,0.1,1.0
Am241,4.33E+02,1,0.1,
Pu241,1.44E+01,3,10,
