Nuclide,Steel,Copper,Aluminum,Concrete
H3,1.9e-2,1.0e-4,2.8e-6,6.6e-2
C14,3.2e-2,2.4e-4,4.5e-6,1.2e-1
Na22,4.2e1,1.2e0,2.9e-2,2.4e2
P32,5.7e-2,7.9e-4,2.1e-5,1.1e-1
S35,3.7e-4,2.7e-5,8.2e-7,1.6e-3
Cl36,1.7e0,2.1e-3,5.9e-5,1.3e0
K40,3.4e0,6.5e-2,2.2e-3,1.9e1
Ca41,2.1e-1,1.1e-3,2.9e-5,7.2e-1
Ca45,2.0e-3,2.2e-4,3.8e-6,1.1e-2
Sc46,3.8e1,9.3e-1,2.3e-2,1.7e2
Cr51,3.8e-1,8.2e-3,2.4e-4,1.8e0
Mn53,1.6e1,4.3e-1,5.6e-2,8.5e1
Mn54,1.6e1,4.3e-1,5.6e-2,8.5e1
Fe55,4.6e-4,4.3e-5,3.1e-6,2.1e-3
Fe59,2.1e1,4.4e-1,1.2e-2,8.8e1
Co56,6.8e1,1.3e0,4.8e-2,3.0e2
Co57,1.2e0,1.5e-2,7.2e-3,8.1e0
Co58,1.7e1,3.5e-2,1.3e-2,7.5e1
Co60,5.2e1,1.1e0,2.6e-1,2.9e2
Ni59,4.6e-4,2.8e-5,2.2e-6,2.1e-3
Ni63,4.7e-4,5.4e-5,3.5e-6,2.1e-3
Zn65,1.5e1,2.7e-1,3.1e-2,5.9e1
As73,2.2e-2,1.7e-4,1.8e-5,1.2e-1
Se75,5.9e0,6.5e-2,1.0e-2,2.8e1
Sr85,7.6e0,2.0e-1,5.1e-3,3.6e1
Sr89,6.3e-2,1.2e-3,2.9e-5,1.4e-1
Sr90,5.7e-1,1.3e-2,2.6e-4,1.5e0
Y91,1.4e-1,3.5e-3,7.9e-5,4.3e-1
Zr93,9.3e-3,1.7e-3,2.1e-5,9.4e-3
Zr95,1.5e1,4.4e-1,1.1e-2,8.6e1
Nb93m,3.3e-3,6.1e-4,7.3e-6,3.8e-3
Nb94,3.0e1,6.1e-4,7.3e-6,3.8e-3
Nb95,1.2e1,2.8e-1,7.1e-3,5.1e1
Mo93,3.7e-2,6.4e-4,9.0e-6,1.7e-1
Tc97,1.9e-1,1.1e-3,3.0e-5,7.1e-1
Tc97m,4.5e-3,1.6e-4,4.6e-6,2.7e-2
Tc99,1.6e0,9.5e-3,2.5e-4,6.1e0
Ru103,7.1e0,1.1e-1,4.5e-3,3.2e1
Ru106,4.2e0,8.0e-2,1.9e-2,2.2e1
Ag108m,2.9e1,5.5e-1,2.4e-1,1.7e2
Ag101m,5.2e1,9.7e-1,1.7e-1,2.8e2
Cd109,6.5e-2,1.5e-3,2.0e-4,4.8e-1
Sn113,3.7e0,9.1e-2,6.6e-3,2.1e1
Sb124,3.4e1,5.8e-1,2.0e-2,1.5e2
Sb125,7.1e0,1.6e-1,4.0e-2,4.3e1
Te123m,1.5e0,1.3e-2,3.5e-3,9.0e0
Te127m,1.0e-1,1.5e-3,1.3e-4,4.8e-1
I125,7.3e-1,1.5e-3,4.8e-5,2.5e-1
I129,2.2e2,4.0e-1,1.2e-2,2.9e2
I131,3.7e0,3.6e-2,1.2e-3,1.0e1
Cs134,4.4e1,5.5e-1,2.0e-2,1.6e2
Cs135,8.2e-3,8.6e-5,6.8e-6,2.6e-2
Cs137,1.6e1,2.0e-1,7.4e-3,6.1e1
Ba133,4.9e0,1.5e-1,4.2e-3,3.5e1
Ce139,1.5e0,2.9e-2,1.2e-3,9.4e0
Ce141,1.0e0,3.0e-2,7.3e-4,5.3e0
Pm147,4.4e-3,8.2e-4,9.9e-6,5.9e-3
sm151,3.3e-3,6.2e-4,7.2e-6,2.7e-3
Eu152,2.2e1,6.1e-1,1.5e-2,1.2e2
Eu154,2.2e1,6.0e-1,1.5e-2,1.4e2
Eu155,4.5e-1,6.2e-3,3.4e-4,3.2e0
Gd153,5.9e-1,6.7e-3,4.3e-4,3.9e0
Tb160,2.0e1,4.9e-1,1.2e-2,8.8e1
Tm170,3.6e-2,1.1e-3,3.1e-5,2.3e-1
Tm171,2.7e-3,2.2e-4,4.1e-6,2.0e-2
Ta182,2.3e1,5.9e-1,2.7e-2,1.1e2
W181,1.8e-1,1.5e-3,3.1e-4,1.1e0
W185,2.0e-3,7.6e-5,2.1e-6,9.7e-3
Os185,1.4e1,2.0e-1,1.2e-2,5.6e1
Ir192,1.1e1,1.9e-1,1.1e-2,5.8e1
Tl204,1.2e-2,1.9e-4,1.0e-4,7.8e-2
Pb210,1.2e1,3.9e-1,3.7e-2,2.5e1
Bi207,43e1,55e-1,1.6e-1,1.7e2
Po210,3.3e0,3.9e-2,3.1e-3,6.3e0
Ra226,3.5e1,1.1e0,2.6e-2,2.0e2
Ra228,1.8e1,7.8e-1,1.5e-2,1.2e2
Ac227,1.4e2,2.7e1,3.2e-1,1.4e2
Th228,4.9e1,7.6e0,7.7e-2,1.8e2
Th229,1.9e2,3.6e1,5.1e-1,1.3e2
Th230,2.7e1,5.3e0,7.6e-2,1.8e1
Th232,1.2e2,2.4e1,3.8e-1,8.9e1
Pa231,9.5e1,1.8e1,3.1e-1,9.7e1
U232,7.5e1,1.3e1,1.5e-1,3.7e1
U233,1.4e1,2.7e0,3.1e-2,3.2e1
U234,1.4e1,2.7e0,3.1e-2,2.3e1
U235,1.4e1,2.6e0,3.0e-2,3.3e1
U236,1.3e1,2.5e0,2.9e-2,2.1e1
U238,1.3e1,2.4e0,2.8e-2,2.1e1
Np237,3.2e2,1.1e1,1.3e-1,1.1e3
Pu236,1.4e1,2.8e0,3.4e-2,1.0e1
Pu238,3.1e1,6.0e0,9.3e-2,2.9e1
Pu239,3.3e1,6.4e0,1.0e-1,3.1e1
Pu241,5.8e-1,1.0e-1,2.0e-3,6.1e-1
Pu242,3.2e1,6.1e0,9.7e-2,3.0e1
Pu244,3.5e1,6.2e0,1.0e-1,5.8e1
Am241,4.8e1,9.1e0,1.1e-1,3.3e1
Am242m,4.7e1,9.0e0,1.0e-1,3.3e1
Am243,4.8e1,9.1e0,1.1e-1,4.5e1
Cm242,1.6e0,3.2e-1,3.8e-3,1.1e0
Cm243,3.3e1,6.3e0,7.4e-2,3.0e1
Cm244,2.6e1,5.1e0,5.9e-2,1.8e1
Cm245,4.9e1,9.4e0,1.1e-1,3.8e1
Cm246,4.8e1,9.3e0,1.1e-1,3.3e1
Cm247,4.7e1,8.7e0,1.0e-1,5.7e1
Cm248,1.8e2,3.4e1,3.9e-1,1.2e2
Bk249,1.5e-1,2.8e-2,3.3e-4,1.0e-1
Cf248,5.1e0,1.0e0,1.2e-2,3.3e0
Cf249,4.4e1,8.0e0,9.6e-2,6.0e1
Cf250,2.2e1,4.2e0,4.9e-2,1.6e1
Cf251,4.3e1,8.1e0,9.4e-2,4.1e1
Cf252,1.5e1,3.2e0,3.7e-2,1.1e1
Cf254,3.3e2,1.2e1,2.5e-1,1.4e3
Es254,2.0e1,1.3e0,2.1e-2,9.2e1
